Country,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_consumption
Angola,1200000.0,1800000.0,2100000.0,1200000.0,1500000.0,600000.0,1200000.0,2400000.0,1800000.0,1200000.0,1200000.0,1200000.0,1200000.0,900000.0,900000.0,900000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,45300000.0
Bolivia (Plurinational State of),1500000.0,1620000.0,1650000.0,1710000.0,1770000.0,1830000.0,1890000.0,1950000.0,1980000.0,2040000.0,2100000.0,2190000.0,2250000.0,2310000.0,2700000.0,2460000.0,2520000.0,2610000.0,2700000.0,2760000.0,2850000.0,2940000.0,3030000.0,3120000.0,3210000.0,3300000.0,3420000.0,3510000.0,3600000.0,3660000.0,73680000.0
Brazil,492000000.0,510000000.0,534000000.0,546000000.0,558000000.0,606000000.0,660000000.0,690000000.0,732000000.0,762000000.0,792000000.0,815400000.0,825000000.0,852000000.0,896760000.0,932280000.0,979860000.0,1026600000.0,1059600000.0,1103400000.0,1147920000.0,1183200000.0,1219800000.0,1205100000.0,1219980000.0,1230480000.0,1273500000.0,1319820000.0,1332000000.0,1320000000.0,27332700000.0
Burundi,120000.0,96000.0,102000.0,114600.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,114360.0,93600.0,81420.0,86100.0,83940.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,3292020.0
Ecuador,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,18000000.0,18000000.0,18000000.0,13800000.0,12000000.0,12000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,9300000.0,9300000.0,9300000.0,9300000.0,9300000.0,9300000.0,8940000.0,360540000.0
Indonesia,74520000.0,76800000.0,79140000.0,81540000.0,84000000.0,86580000.0,89160000.0,91920000.0,94680000.0,97560000.0,100560000.0,120000000.0,106740000.0,109980000.0,120000000.0,150000000.0,169980000.0,199980000.0,199980000.0,199980000.0,199980000.0,220020000.0,234000000.0,255000000.0,265020000.0,273000000.0,279000000.0,285000000.0,288000000.0,288360000.0,4845960000.0
Madagascar,21000000.0,18000000.0,21000000.0,21600000.0,9999960.0,10020000.0,10020000.0,10020000.0,10020000.0,3360000.0,5346000.0,7680000.0,13020000.0,19980000.0,28020000.0,28020000.0,28020000.0,28020000.0,28020000.0,28020000.0,28020000.0,27000000.0,25800000.0,24600000.0,23400000.0,22200000.0,21600000.0,21900000.0,22500000.0,22500000.0,567705960.0
Malawi,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,60000.0,2220000.0
Papua New Guinea,180000.0,180000.0,180000.0,120000.0,120000.0,120000.0,120000.0,120000.0,60000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,85800.0,74160.0,102660.0,122340.0,115440.0,108000.0,120000.0,120000.0,120000.0,120000.0,3428400.0
Paraguay,900000.0,900000.0,900000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,34200000.0
