Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_consumption
European Union,31881.539292499998,2119302717.0,2143412499.0,2265518029.0,2052593194.0,2192105022.0,2258100335.0,2214659426.0,2242578231.0,2220457665.0,2160508561.0,2182572091.0,2206651248.0,2278591458.0,2357075726.0,2231777071.0,2311644163.0,2299056331.0,2257947196.0,2209295776.0,2283685928.0,2269858608.0,2283168217.0,2325453011.0,2383028563.0,2292444001.0,2443252884.0,2350135511.0,2480529575.0,2475721124.0,65791124161.0
Austria,1340.1239854,78125158.0,72740038.0,80100059.0,65173140.0,60706200.0,64547280.0,65224776.0,66284292.0,67397837.0,52483877.0,60759838.0,55561612.0,43174342.0,59749426.0,46323968.0,36748239.0,50808939.0,54473209.0,53142951.0,54171260.0,67040739.0,76141167.0,74943366.0,68082583.0,68150313.0,71594825.0,69697103.0,70319597.0,70401101.0,1824067235.0
Belgium,,,,,,,,,,50069549.0,68001634.0,53053996.0,89058058.0,94765114.0,83774126.0,69482265.0,92244785.0,66187101.0,38995831.0,56057573.0,52239911.0,56068125.0,54878194.0,74709886.0,75536208.0,64416640.0,90127488.0,78003292.0,81895599.0,71122580.0,1460687955.0
Belgium/Luxembourg,1124.1099836,42489419.0,41782379.0,47366219.0,57492899.0,64380899.0,62318224.0,53175826.0,78564389.0,,,,,,,,,,,,,,,,,,,,,,447570254.0
Bulgaria,101.7829982,1005660.0,10492681.0,19617300.0,21165840.0,23604480.0,14788500.0,16495080.0,19449600.0,21782544.0,16505089.0,21023976.0,20434122.0,23838882.0,21851448.0,25800839.0,25222951.0,21851398.0,26683073.0,24556554.0,23721479.0,21571185.0,22556475.0,25116411.0,22574175.0,24375426.0,27140757.0,24900707.0,25543168.0,25383999.0,619053799.0
Croatia,,,8072700.0,7913400.0,9831720.0,17308860.0,18268140.0,21683760.0,19183800.0,20230080.0,19627440.0,20206080.0,21291780.0,22525680.0,22200573.0,22425184.0,23167971.0,23180068.0,22628531.0,21938252.0,22190316.0,22029189.0,21621847.0,23193758.0,22107600.0,22478852.0,22775111.0,21666358.0,21596243.0,22830346.0,564173639.0
Cyprus,30.5709991,2681820.0,2358240.0,4650960.0,2722140.0,2560680.0,3104460.0,2789760.0,2772360.0,3236478.0,4007820.0,3173466.0,3082728.0,3185760.0,3588744.0,4178850.0,3329740.0,4157043.0,4637586.0,4526272.0,4434339.0,4847612.0,5123899.0,5358638.0,4844155.0,5562988.0,5585422.0,5836462.0,7788276.0,6925474.0,121052172.0
Czechia,659.433,31516440.0,28329360.0,26903700.0,30523440.0,30687240.0,28499520.0,29074800.0,31404480.0,33461241.0,33613584.0,37983040.0,38491715.0,37359796.0,36280989.0,39387966.0,37860813.0,40737647.0,37284765.0,31510083.0,28183901.0,34347508.0,41113577.0,38245519.0,59891028.0,42502029.0,48360395.0,48250387.0,69455668.0,50562082.0,1101822713.0
Denmark,865.1389994,54512520.0,57530100.0,53433360.0,54508980.0,45467820.0,53700840.0,48507432.0,51219606.0,52131894.0,47438639.0,52104083.0,48275543.0,43442357.0,50930777.0,47672976.0,49349620.0,47657059.0,41300660.0,40575180.0,48389325.0,45735518.0,47989460.0,49330788.0,44881698.0,43884038.0,45199969.0,43951162.0,44369660.0,46688557.0,1400179621.0
Estonia,,,774540.0,2651340.0,3789840.0,4970880.0,5052841.0,5931720.0,5371860.0,5715204.0,5840316.0,6414150.0,6648589.0,6861736.0,7711446.0,8679607.0,10016566.0,6067920.0,9231600.0,7409637.0,6286962.0,3996865.0,6238831.0,7203367.0,7039929.0,7143364.0,7279342.0,6517349.0,7586566.0,7350591.0,175782958.0
