Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_export
Angola,84.35,4230060.0,4815000.0,2332680.0,498120.0,2433540.0,3109860.0,3029640.0,3235740.0,3006840.0,1290300.0,855000.0,560700.0,1037880.0,340200.0,279900.0,324600.0,234960.0,366300.0,415500.0,262200.0,454500.0,502500.0,331200.0,562500.0,630900.0,656700.0,543300.0,559404.0,1401431.0,38301455.0
Bolivia (Plurinational State of),156.442,4411380.0,5772240.0,2839140.0,5059260.0,5637480.0,7406700.0,6657300.0,5822340.0,7422540.0,6380820.0,4173300.0,4748880.0,4389540.0,5596680.0,5052825.0,5552654.0,5042829.0,4089233.0,4956526.0,4696080.0,4458533.0,3760547.0,3291032.0,3705076.0,1816809.0,1347381.0,1567199.0,1347578.0,1220517.0,128222419.0
Brazil,16935.7876003,1270965684.0,1127443152.0,1070264880.0,1036388856.0,868105932.0,915036540.0,1008075600.0,1088663300.0,1388952228.0,1080975638.0,1390349191.0,1678910336.0,1542648700.0,1588708505.0,1571883327.0,1642134118.0,1691014437.0,1770617742.0,1822678898.0,1989998495.0,2028360560.0,1712965553.0,1899033777.0,2240110370.0,2253770805.0,2056149015.0,1855474071.0,2138241515.0,2441871823.0,46169793048.0
Burundi,584.773,41271060.0,38751480.0,25056540.0,30468180.0,31692120.0,13444560.0,31725840.0,22430460.0,24524880.0,26654520.0,18189960.0,17316420.0,28558800.0,20335500.0,22286460.0,16855620.0,21366840.0,15041894.0,17329800.0,18427137.0,13070748.0,23520415.0,11682953.0,15130680.0,13811313.0,12256250.0,10132576.0,12103514.0,17573237.0,611009757.0
Cameroon,2611.2590004,105130740.0,98751060.0,42271800.0,32753340.0,24436140.0,33812940.0,82081800.0,44743080.0,69242820.0,72297840.0,67509540.0,38381280.0,48860460.0,44059500.0,42263724.0,44347135.0,43237245.0,31620958.0,37065422.0,47630740.0,29416984.0,37308768.0,16316953.0,22502032.0,23408563.0,16867738.0,14701027.0,17244915.0,14994144.0,1243258688.0
Central African Republic,196.698,8457000.0,5998500.0,8231820.0,8200560.0,13892520.0,5899680.0,12166680.0,6139200.0,11693040.0,12168960.0,5658960.0,5726100.0,2389800.0,3835200.0,2793673.0,991062.0,7316380.0,1957980.0,3694920.0,5711640.0,4676580.0,4661520.0,60000.0,4501620.0,2592840.0,4801080.0,1086760.0,2311680.0,1156400.0,158772155.0
Colombia,13943.8700004,755951100.0,993862200.0,814101720.0,706085340.0,588851820.0,635305860.0,655131780.0,675595740.0,599718600.0,550599655.0,596617800.0,616405500.0,614663520.0,611658900.0,652274818.0,656691208.0,678025241.0,665110212.0,473635608.0,469298070.0,464017515.0,430212197.0,580194442.0,657264501.0,762983080.0,769883444.0,779075745.0,768478357.0,820333536.0,19042027509.0
Congo,1.68,55440.0,20160.0,30240.0,61020.0,1148940.0,758040.0,160200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,785.0,33.0,2234980.0
Costa Rica,2265.644,143978400.0,145880400.0,141835200.0,126298080.0,124020660.0,145808040.0,125954340.0,122673480.0,131694660.0,117898802.0,121097820.0,107042040.0,102108720.0,85436400.0,88820159.0,78622165.0,81831009.0,86404966.0,74138709.0,71998957.0,74583596.0,82420030.0,80637095.0,72535110.0,67691419.0,60415701.0,59229278.0,72476778.0,62348662.0,2855880676.0
Côte d'Ivoire,4282.8659998,228284040.0,272782080.0,241986420.0,146639580.0,149636760.0,165036180.0,282778920.0,261917280.0,144360600.0,366576828.0,245671320.0,195192900.0,158798940.0,154364040.0,105230955.0,105064196.0,131736091.0,89414128.0,108391543.0,114723207.0,46334530.0,102705937.0,117724246.0,89349069.0,85102510.0,85922616.0,51277235.0,91347454.0,126255430.0,4464605035.0
Cuba,181.7789999,7285740.0,9762600.0,6971700.0,8143500.0,7337220.0,6730260.0,6399780.0,9116460.0,4644780.0,6775139.0,6517500.0,3445200.0,3008400.0,1490280.0,1421040.0,956000.0,938400.0,231000.0,447720.0,315600.0,585300.0,918720.0,744900.0,794460.0,767763.0,924126.0,907618.0,2000813.0,1349160.0,100931179.0
Democratic Republic of Congo,1838.636,85077420.0,57253740.0,55170360.0,45660600.0,63083400.0,52893660.0,32655180.0,38422140.0,29226720.0,16879680.0,7983240.0,10753260.0,12712140.0,15155160.0,9451800.0,8285630.0,11999263.0,12192217.0,9660104.0,9726576.0,7899904.0,8783036.0,8407520.0,9034620.0,7697100.0,10257320.0,5317139.0,11279980.0,12271644.0,665190553.0
Dominican Republic,535.207,28575780.0,22168020.0,19885920.0,19938780.0,27061080.0,27162240.0,18418620.0,21570300.0,9635520.0,9292021.0,5843100.0,7009080.0,9086280.0,2733840.0,2506026.0,7480318.0,4669779.0,4896881.0,6143784.0,2467846.0,5315874.0,8242981.0,3883399.0,2690056.0,1148638.0,1161752.0,1463763.0,1932191.0,1642585.0,284026454.0
Ecuador,1783.7159997,84983040.0,76406100.0,95919960.0,128715060.0,92398440.0,92364660.0,62698860.0,63384960.0,59281560.0,41799011.0,45383340.0,33917340.0,37287180.0,42235260.0,59609101.0,60886753.0,59466887.0,52107365.0,65173044.0,72093164.0,91935396.0,94775457.0,75727555.0,67749911.0,52142910.0,55357580.0,41708778.0,28961960.0,30376011.0,1864846643.0
El Salvador,2509.873,128892600.0,127205520.0,176824260.0,125577300.0,108449880.0,138848820.0,166327560.0,101054820.0,113388900.0,152194366.0,91974840.0,91985940.0,78241800.0,79651980.0,76792838.0,77568876.0,72621523.0,86292634.0,78552021.0,64905998.0,109578411.0,62639161.0,66164605.0,27698947.0,34551843.0,29759581.0,31626065.0,34285444.0,32750004.0,2566406537.0
Equatorial Guinea,7.068,199260.0,165960.0,147780.0,50940.0,203100.0,99540.0,67200.0,100140.0,62160.0,10740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3480.0,0.0,1110300.0
Ethiopia,1074.101,50479740.0,44067660.0,70006680.0,88519500.0,76567080.0,110293860.0,118783980.0,115023660.0,109085220.0,118911360.0,82563720.0,123280680.0,133748580.0,149456640.0,146104140.0,176133600.0,156240480.0,171115258.0,111089847.0,199446153.0,160525141.0,192155544.0,172204515.0,187001422.0,179098489.0,180043467.0,226404380.0,215342881.0,235274986.0,4098968663.0
Gabon,2.314,200280.0,60420.0,130680.0,302340.0,176760.0,100860.0,0.0,105900.0,150000.0,35040.0,121440.0,15000.0,57000.0,0.0,0.0,65460.0,24180.0,25260.0,40500.0,48600.0,45140.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1800.0,1707669.0
Ghana,10.865,942120.0,1934700.0,2848920.0,648900.0,2289120.0,261540.0,1780140.0,1067220.0,5664480.0,5437988.0,3392040.0,1503420.0,1501689.0,1326411.0,1052628.0,529189.0,1327389.0,2165390.0,1420523.0,397316.0,4324364.0,1828024.0,1356631.0,1586519.0,2401294.0,1608103.0,1011338.0,744021.0,609296.0,52960713.0
Guatemala,3240.141,169919100.0,199679280.0,225041220.0,196444140.0,222052320.0,238739880.0,254632920.0,212511180.0,280836060.0,291095511.0,246622680.0,209479680.0,229248000.0,198574860.0,207947599.0,198726554.0,223570017.0,226655412.0,209569319.0,208085261.0,221809530.0,225006752.0,214500684.0,182606312.0,177651720.0,179467245.0,202959971.0,199649379.0,216791279.0,6269873865.0
