Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_import
European Union,42882.77608699999,2468632327.0,2671799650.0,2715268058.0,2724127889.0,2605463190.0,2784504407.0,2871914753.0,2932126949.0,2984878903.0,3002299013.0,3132962775.0,3221632028.0,3288102706.0,3399541960.0,3394396281.0,3616339830.0,3743705663.0,3865382805.0,3782818508.0,3931326371.0,3963163008.0,4088211121.0,4081839798.0,4313592341.0,4319701666.0,4584147558.0,4453282492.0,4689073278.0,4803422636.0,102433657964.0
Austria,1879.7170038,123496260.0,132384960.0,110189340.0,85032840.0,73886160.0,72627960.0,77652204.0,77601246.0,89986621.0,75433974.0,85944815.0,86832443.0,80163575.0,92289371.0,94594736.0,96039122.0,118086762.0,114064002.0,78554042.0,82152018.0,87149574.0,93516562.0,93295617.0,91504865.0,90803417.0,89696314.0,87594692.0,85764410.0,86850820.0,2653188722.0
Belgium,,,,,,,,,,180180331.0,209436935.0,192517631.0,227530367.0,229056841.0,238098274.0,243793505.0,276281039.0,240819205.0,407525197.0,354930035.0,355423800.0,349706543.0,340093911.0,330128618.0,312704956.0,332010852.0,363130210.0,340642748.0,344535204.0,371933792.0,6240479994.0
Belgium/Luxembourg,2014.9540173,104773501.0,109671061.0,123795602.0,135748382.0,144089881.0,151549417.0,152662759.0,214780675.0,,,,,,,,,,,,,,,,,,,,,,1137071278.0
Bulgaria,268.1829982,12013200.0,10933861.0,23846580.0,27760080.0,30925080.0,16329600.0,17649240.0,20527320.0,22015140.0,16843621.0,21294300.0,20605920.0,24021660.0,22010934.0,26430850.0,26073101.0,23601679.0,31032341.0,31379747.0,31702325.0,28890613.0,33589504.0,36569200.0,37242538.0,40905395.0,46749601.0,42412951.0,44234639.0,47093803.0,814684823.0
Croatia,,,10091400.0,9766440.0,11607000.0,19207920.0,19310160.0,23117820.0,20343060.0,21124980.0,20662920.0,21125340.0,22254900.0,23554440.0,23303510.0,23495972.0,24247294.0,24825881.0,24319571.0,23642911.0,23629528.0,23452438.0,23069422.0,24770965.0,25180413.0,26232087.0,28719999.0,26344465.0,26730817.0,27985052.0,622116705.0
Cyprus,49.853999,3235560.0,2452560.0,4644720.0,3110160.0,2626140.0,3090120.0,2480460.0,2986740.0,3327516.0,4112280.0,3542790.0,3397734.0,3527856.0,3561228.0,4805886.0,4428254.0,4285308.0,4650865.0,4304392.0,4603707.0,4924725.0,5032648.0,5625971.0,5663286.0,5358293.0,5589198.0,5996032.0,7990773.0,7993492.0,127348694.0
Czechia,659.433,31516440.0,28483860.0,30856620.0,33227820.0,33191820.0,31517880.0,33613500.0,45890340.0,43660607.0,48536543.0,53955158.0,53272814.0,58443975.0,55732482.0,63804830.0,56428701.0,62224720.0,62239605.0,55801553.0,57043316.0,57141996.0,67597374.0,71032935.0,109361447.0,124070314.0,106761075.0,90418033.0,114189534.0,96535288.0,1776550580.0
Denmark,959.1050037,58965420.0,63697380.0,59636820.0,61991040.0,52629540.0,60359952.0,56944230.0,60823392.0,65626758.0,61307898.0,66177816.0,64548030.0,60094931.0,67167023.0,59601585.0,60249770.0,59711899.0,54021926.0,51590796.0,60878454.0,54532184.0,54785940.0,55270735.0,51205433.0,50446658.0,54347377.0,51131600.0,52077031.0,54476109.0,1684297727.0
Estonia,,,982680.0,3068880.0,4985880.0,6448680.0,7015080.0,8466900.0,8079540.0,7854804.0,6318276.0,9653310.0,7182206.0,8028376.0,10543950.0,13268164.0,15265452.0,16626395.0,20063002.0,21436352.0,15772211.0,10011344.0,9434087.0,9372841.0,7851223.0,7572038.0,8088158.0,7988888.0,8828267.0,8870934.0,269077918.0
Finland,1095.1409982,61984020.0,63321660.0,78087360.0,81660180.0,46169940.0,59536416.0,71131278.0,70076118.0,72569100.0,63786660.0,65043770.0,64520094.0,66287838.0,69118992.0,69386472.0,70078768.0,72421758.0,77087673.0,74595830.0,76424607.0,77190904.0,74269982.0,76528078.0,72783323.0,79248137.0,83337977.0,81601424.0,77089369.0,90928436.0,2086266164.0
France,6301.2210348,393162542.0,396723362.0,380068083.0,382119723.0,372820803.0,399570807.0,402239115.0,394561359.0,400539939.0,391200515.0,405164620.0,415506016.0,399109438.0,356407767.0,342840515.0,371431897.0,385216228.0,375104347.0,400183692.0,403034513.0,419509206.0,410468133.0,402786291.0,426738368.0,408513998.0,404266963.0,417990880.0,457441141.0,479574302.0,11594294563.0
Germany,13670.9460046,793731060.0,827313240.0,846420180.0,814992900.0,771110100.0,810427735.0,834311083.0,824374105.0,859201621.0,833672371.0,885195955.0,930932239.0,943620151.0,1041364278.0,1002962925.0,1112570596.0,1173843198.0,1192574239.0,1164939928.0,1236177347.0,1255584275.0,1308972720.0,1270458415.0,1324661620.0,1278972703.0,1342103447.0,1305887032.0,1328830886.0,1345914326.0,30661120675.0
Greece,641.9630004,24421620.0,20935380.0,22475580.0,30127680.0,31355700.0,45930390.0,47317260.0,42267336.0,43977738.0,47903151.0,52058577.0,53849835.0,59878454.0,56507697.0,55835573.0,53827623.0,64853204.0,63362177.0,62761064.0,63679653.0,69271549.0,74619800.0,76145637.0,74016324.0,72597871.0,95024270.0,52027163.0,69601419.0,74776448.0,1601406173.0
Hungary,573.974,38459220.0,31334880.0,40083360.0,46273320.0,31170300.0,36174360.0,40497600.0,42935640.0,45723918.0,47412400.0,49993258.0,49650412.0,51826199.0,58645076.0,51103374.0,54032880.0,53615328.0,48646047.0,42236285.0,43613382.0,38377456.0,44875663.0,33443823.0,50006955.0,42852564.0,43526299.0,43293650.0,46752802.0,46378180.0,1292934631.0
Ireland,129.4770008,7096020.0,5674080.0,6632520.0,7832400.0,6876420.0,5889480.0,6377016.0,6118674.0,8522010.0,9281291.0,10809065.0,10596095.0,13603379.0,15818681.0,15076787.0,15134636.0,15987630.0,7645351.0,8520840.0,9884202.0,12626575.0,15120271.0,13964676.0,17511583.0,21394265.0,24157828.0,25614932.0,26376847.0,26296822.0,376440376.0
Italy,5241.8309999,277801380.0,275683620.0,335622300.0,333225960.0,323271660.0,336479232.0,344557915.0,353363611.0,356585251.0,378892481.0,392503877.0,391404875.0,415751417.0,421915859.0,436116765.0,452851558.0,481707808.0,490326246.0,484690114.0,494157730.0,501320554.0,521452183.0,529352694.0,560989345.0,559691596.0,613451330.0,601216399.0,638361277.0,654825433.0,12957570470.0
Latvia,,,1215540.0,3586440.0,1353360.0,1771327.0,3945138.0,8618625.0,9537328.0,10986569.0,10863102.0,9373202.0,9832909.0,11155209.0,11266183.0,11465113.0,13230896.0,9038099.0,9254942.0,7918694.0,8259874.0,8476852.0,9419139.0,9677335.0,12803287.0,12095587.0,13877450.0,13735220.0,14564579.0,14096441.0,261418440.0
Lithuania,,,111780.0,546000.0,2803620.0,6776861.0,8973690.0,11226861.0,11108980.0,12376392.0,12759750.0,16025333.0,15772895.0,13239510.0,15383106.0,17025995.0,18998882.0,20132833.0,23429903.0,24656075.0,22563222.0,17332523.0,20200567.0,21731186.0,23788703.0,25665432.0,29956223.0,25947141.0,26487974.0,28417854.0,473439291.0
Luxembourg,,,,,,,,,,8702712.0,13906202.0,12582365.0,15162571.0,17325755.0,18948139.0,19847714.0,20132065.0,21574049.0,21084799.0,19797056.0,20932492.0,19531724.0,19365181.0,22690395.0,24782559.0,22573551.0,23659724.0,22795713.0,25999422.0,24136004.0,415530192.0
Malta,20.7139989,964440.0,1071480.0,1356780.0,792720.0,1358849.0,553900.0,567513.0,606264.0,534254.0,552113.0,563908.0,573858.0,639719.0,936158.0,978125.0,1732435.0,955010.0,1381134.0,853071.0,730601.0,1017390.0,1277936.0,1313839.0,1478044.0,978803.0,1111939.0,1005267.0,1162658.0,1402271.0,28450479.0
Netherlands,3128.1500184,187246441.0,192297121.0,168223741.0,167992861.0,174621961.0,185037439.0,175426370.0,171722899.0,153930259.0,177948047.0,167621032.0,165600100.0,190532331.0,189541617.0,179280904.0,197568315.0,211861165.0,138266608.0,150127971.0,154959646.0,160700060.0,163785647.0,204407694.0,240961337.0,250574150.0,286887011.0,304064432.0,331226253.0,321241380.0,5763654792.0
Poland,435.0650014,14992260.0,107223422.0,100229851.0,110558473.0,106242547.0,115444444.0,135184924.0,137577631.0,144218095.0,154582606.0,163163639.0,158609773.0,159860687.0,161208967.0,167490264.0,159219627.0,135820187.0,147620685.0,189692204.0,196734846.0,204229159.0,212564744.0,197062958.0,193752467.0,219936724.0,229630137.0,239959116.0,259503740.0,267147416.0,4789461593.0
